animeTitle	b'Mo Dao Zu Shi'
animeType	b'ONA'
animeNumEpisode	15
releaseDate	
endDate	
animeNumMembers	
animeScore	8.48
animeUsers	52303
animeRank	
animePopularity	
animeDescription	b'Xian: the state of immortality that all cultivators strive to achieve. However, there is a dark energy that lies underneath\xe2\x80\x94the forbidden Mo Dao, or demonic path. Through an unfortunate series of tragedies, this is the path that cultivator Wei Wuxian experiments with during his teachings. His rise in power is accompanied by chaos and destruction, but his reign of terror comes to an abrupt end when the cultivation clans overpower him and he is killed by his closest ally.\n\nThirteen years later, Wei Wuxian is reincarnated in the body of a lunatic and reunited with Lan Wangji, a former classmate of his. This marks the beginning of a supernatural mystery that plagues the clans and threatens to disrupt their everyday life.\n\nMo Dao Zu Shi follows these two men on their mission to unravel the mysteries of the spiritual world. Fighting demons, ghosts, and even other cultivators, the two end up forming a bond that neither of them had ever expected.\n\n[Written by MAL Rewrite]'
animeRelated	[b'Mo Dao Zu Shi', b'Mo Dao Zu Shi: Xian Yun Pian', b'Mo Dao Zu Shi Q']
animeCharacters	[b'Wei, Wuxian', b'Lan, Wangji', b'Jiang, Wanyin', b'Wen, Ning', b'Nie, Huaisang', b'Lan, Sizhui', b'Jiang, Yanli', b'Lan, Xichen', b'Jin, Ling', b'Yu, Ziyuan']
animeVoices	[b'\nKimura, Ryouhei\nJapanese\n', b'\nTachibana, Shinnosuke\nJapanese\n', b'\nMidorikawa, Hikaru\nJapanese\n', b'\nShimazaki, Nobunaga\nJapanese\n', b'\nHanae, Natsuki\nJapanese\n', b'\nTsuchiya, Shinba\nJapanese\n', b'\nHayami, Saori\nJapanese\n', b'\nMorikawa, Toshiyuki\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nHonda, Takako\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nXiong, Ke\n\nDirector, Storyboard, Art Director\n\n', b'\nMa, Chendi\n\nEpisode Director\n\n', b'\nLiu, Xing\n\nScript\n\n', b'\nLiang, Sha\n\nScript\n\n']
