animeTitle	Tengen Toppa Gurren Lagann: Mitee Mono wa Miteen da!!
animeType	Special
animeNumEpisode	1
releaseDate	2008-02-26 00:00:00
endDate	
animeNumMembers	
animeScore	7.36
animeUsers	17729
animeRank	
animePopularity	2819
animeDescription	"An uncut version of episode six, involving Kamina's hopes of seeing Yoko and The Black Siblings naked, even at the risk of his friends' safety. 

(Source: Wikipedia)"
animeRelated	['Tengen Toppa Gurren Lagann']
animeCharacters	['Kamina', 'Simon', 'Littner, Yoko', 'Boota', 'Littner, Leeron', 'Adai, Rossiu', 'Adai, Darry', 'Bachika, Kiyal', 'Adai, Gimmy', 'Bachika, Kinon']
animeVoices	['Konishi, Katsuyuki', 'Kakihara, Tetsuya', 'Inoue, Marina', 'Itou, Shizuka', 'Onosaka, Masaya', 'Saiga, Mitsuki', 'Asumi, Kana', 'Honda, Takako', 'Ueda, Kana']
animeStaff	[['Iwasaki, Taku', 'Music']]
