animeTitle	b'Binkan Athlete'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.34
animeUsers	2675
animeRank	
animePopularity	
animeDescription	"b'Shigeru is a university student. He likes to play sports and works at a sports gym part-time. One day, Ayako, a massager, suddenly tells him, ""You\'ve got golden fingers! You must have a special talent for massaging! ""He is taken to a massage room and ordered to give Asaka, a famous beach volleyball player, a massage. He doesn\'t know what to do, but he gives her a massage. However, she suddenly goes out of the room angrily. He has no idea what\'s wrong with him, but Ayako says, ""Why don\'t you get her to reach orgasm?"" and she gives him erotic massage lessons. Like this, his life as a massager begins...'"
animeRelated	[]
animeCharacters	[b'Yaginuma, Shizuka', b'Ooyama, Megumi', b'Miwa, Asaka', b'Yaginuma, Nao', b'Mochida, Shigeru', b'Saibara, Ayako']
animeVoices	[b'\nIchimura, Oma\nJapanese\n', b'\nNarumi, Erika\nJapanese\n', b'\nTanaka, Ryouko\nJapanese\n', b'\nYanase, Natsumi\nJapanese\n', b'\nAmamiya, Yuu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nRaika, Ken\n\nDirector\n\n', b'\nSawayama, Shinichiro\n\nScript, Screenplay\n\n']
