animeTitle	Kanon Kazahana
animeType	Special
animeNumEpisode	1
releaseDate	2003-05-03 00:00:00
endDate	
animeNumMembers	
animeScore	6.72
animeUsers	5642
animeRank	
animePopularity	4805
animeDescription	"The spring has come since Yuuichi reunited with Ayu, and lives of all major characters are back on track. When Mishio visits Makoto's birthplace, however, a miracle happens before her eyes.  

(Source: ANN)
"
animeRelated	['Kanon']
animeCharacters	['Tsukimiya, Ayu', 'Kawasumi, Mai', 'Sawatari, Makoto', 'Aizawa, Yuuichi', 'Minase, Nayuki', 'Misaka, Shiori', 'Kurata, Sayuri', 'Minase, Akiko', 'Misaka, Kaori', 'Amano, Mishio']
animeVoices	['Horie, Yui', 'Tamura, Yukari', 'Iizuka, Mayumi', 'Kisaichi, Atsushi', 'Kouda, Mariko', 'Sato, Akemi', 'Kawakami, Tomoko', 'Minaguchi, Yuko', 'Sakamoto, Maaya']
animeStaff	[['Itou, Naoyuki', 'Director'], ['Key', 'Original Creator'], ['Hinoue, Itaru', 'Original Character Design']]
