animeTitle	Mu Di
animeType	Movie
animeNumEpisode	1
releaseDate	1963-01-01 00:00:00
endDate	
animeNumMembers	673
animeScore	5.88
animeUsers	296
animeRank	9099
animePopularity	12204
animeDescription	"The story is about a relationship between a cow herding boy with an extraordinary flute playing ability and his buffalo companion. The boy dreams that he loses the buffalo, and when the buffalo won't move from his hiding place, the boy uses a flute melody to bring him back.

(Source: Wikipedia)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
