animeTitle	Yokorenbo: Immoral Mother
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.8
animeUsers	4003
animeRank	
animePopularity	5379
animeDescription	"Junko lost her husband about ten years ago, and she has been bringing up Ryouichi, her son, alone since then. One day, when he is asleep, she secretly gives him a blowjob and has sex with him. Two years later, she gets remarried. One night, Ryouichi accidentally sees Junko and his new father having sex. He remembers what happened two years ago and feels an irresistible impulse to get her back.

(Source: Saishuu)"
animeRelated	[]
animeCharacters	['Fujisaki, Junko', 'Fujisaki, Miki', 'Fujisaki, Ryouichi', 'Fujisaki, Touru']
animeVoices	['Hyo-sei', 'Rikimaru, Noriko']
animeStaff	[['Lee, Si-Min', 'Key Animation'], ['Matsui, Shinya', 'Director of Photography']]
