animeTitle	Cinderella Girls Gekijou 3rd Season
animeType	TV
animeNumEpisode	13
releaseDate	2018-07-03 00:00:00
endDate	2018-09-25 00:00:00
animeNumMembers	
animeScore	6.53
animeUsers	1927
animeRank	
animePopularity	6669
animeDescription	The third season of Cinderella Girls Gekijou.
animeRelated	['Cinderella Girls Gekijou', 'The iDOLM@STER Cinderella Girls', 'Cinderella Girls Gekijou 2nd Season', 'Cinderella Girls Gekijou: Kayou Cinderella Theater 3rd Season', 'Cinderella Girls Gekijou 3rd Season Specials', 'Cinderella Girls Gekijou: Climax Season']
animeCharacters	['Futaba, Anzu', 'Shimamura, Uzuki', 'Jougasaki, Mika', 'Honda, Mio', 'Igarashi, Kyouko', 'Takamori, Aiko', 'Takagaki, Kaede', 'Shirasaka, Koume', 'Koshimizu, Sachiko', 'Moroboshi, Kirari']
animeVoices	['Igarashi, Hiromi', 'Ohashi, Ayaka', 'Yoshimura, Haruka', 'Hara, Sayuri', 'Tanezaki, Atsumi', 'Kaneko, Yuuki', 'Hayami, Saori', 'Taketatsu, Ayana']
animeStaff	[['Mankyuu', 'Director'], ['Furuya, Yuuji', 'Sound Effects'], ['Kumajet', 'Original Creator']]
