animeTitle	b'Diabolik Lovers Recap'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.42
animeUsers	10567
animeRank	
animePopularity	
animeDescription	b'Recap of episodes 1-6 with new narrations.'
animeRelated	[b'Diabolik Lovers']
animeCharacters	[b'Sakamaki, Ayato', b'Sakamaki, Kanato', b'Sakamaki, Laito', b'Sakamaki, Shuu', b'Sakamaki, Subaru', b'Sakamaki, Reiji', b'Komori, Yui']
animeVoices	[b'\nMidorikawa, Hikaru\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nHirakawa, Daisuke\nJapanese\n', b'\nToriumi, Kousuke\nJapanese\n', b'\nKondou, Takashi\nJapanese\n', b'\nKonishi, Katsuyuki\nJapanese\n', b'\nSuegara, Rie\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTagashira, Shinobu\n\nDirector\n\n', b'\nMidorikawa, Hikaru\n\nTheme Song Performance\n\n', b'\nToriumi, Kousuke\n\nTheme Song Performance\n\n', b'\nHayashi, Yuuki\n\nMusic\n\n']
