animeTitle	b'Marulk-chan no Nichijou'
animeType	b'Movie'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.76
animeUsers	5829
animeRank	
animePopularity	
animeDescription	"b""Shorts played before Made in Abyss Movie 3: Fukaki Tamashii no Reimei in Japan's theatrical screenings."""
animeRelated	[b'Made in Abyss Movie 3: Fukaki Tamashii no Reimei']
animeCharacters	[b'Marulk', b'Ouzen', b'Nat', b'Zapo-jii', b'Yelme', b'Shimred']
animeVoices	[]
animeStaff	[]
