animeTitle	Mrs. Junkie
animeType	OVA
animeNumEpisode	2
releaseDate	2006-02-25 00:00:00
endDate	2007-01-25 00:00:00
animeNumMembers	7287
animeScore	6.7
animeUsers	2718
animeRank	
animePopularity	6036
animeDescription	Another tale in the Milk Junkies series about two busty female characters interacting with a male protagonist.
animeRelated	['Mrs. Junkie', 'Milk Junkie: Shimai-hen', 'Bakunyuu Oyako', 'Cafe Junkie']
animeCharacters	['Sagara, Kyouka', 'Aoki, Hinako']
animeVoices	[]
animeStaff	[['Murakami, Kotaro', 'Producer'], ['Raika, Ken', 'Director'], ['Nakagawa, Tatsuto', 'Sound Director'], ['Tayama, Mamito', 'Storyboard, Animation Director, Character Design']]
