animeTitle	b'Dropout'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.82
animeUsers	15044
animeRank	
animePopularity	
animeDescription	"b'To address the alarming problem of unemployment, a special government program is introduced to conscript so-called ""dropouts""\xe2\x80\x94young people who are either unable to find a job or have failed high school\xe2\x80\x94into compulsory labor. Although this initially entailed simple manual work, it soon turned into dropout girls having to perform mandatory sexual services for men. As one\'s own academic performance determines which dropout they receive, fierce competition for the finest sex partners has emerged between men all across the country.\n\nAt the top of his school, Ryouta Niimi is awarded with the best dropout Japan has to offer. His new ""study partner"" is Reika Shichijou, his former crush. Having been assigned a girl so sweet and well-endowed, Niimi soon becomes the target of his classmates\' envy. How did Reika, who used to be a model student herself, end up in this humiliating and subservient role\xe2\x80\x94and why is she enjoying it so much?\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Dropout']
animeCharacters	[b'Shichijou, Reika', b'Watarai, Shizuka']
animeVoices	[b'\nHara, Maika\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTatsumi\n\nDirector, Script, Storyboard, Key Animation, Character Design, Animation Director\n\n', b'\nFan no Hitori\n\nOriginal Creator\n\n']
