animeTitle	Mechakko Dotakon
animeType	TV
animeNumEpisode	28
releaseDate	1981-04-04 00:00:00
endDate	1981-10-10 00:00:00
animeNumMembers	392
animeScore	
animeUsers	
animeRank	17258
animePopularity	13622
animeDescription	"Geeky genius Michiru has already got her Ph.D. in atomic physics (from California university) by the age of 11. 
But she still longs for a little brother, so she builds her own. Robot boy Dotakon is soon joined by their little robot sister, Chopiko, and the trio embarks on a series of fantastic adventures fueled by Michiru's inventions. "
animeRelated	[]
animeCharacters	['Maeda', 'Akai, Gonpachi', 'Dan, Michiru', 'Kawai, Yousuke', 'Tobe, Genta']
animeVoices	['Shioya, Yoku', 'Satou, Masaharu', 'Nakano, Seiko', 'Kawashima, Chiyoko', 'Yada, Kouji']
animeStaff	[['Yamada, Etsuji', 'Sound Director'], ['Yamayoshi, Yasuo', 'Episode Director'], ['Takagaki, Kouzou', 'Episode Director'], ['Tomita, Sukehiro', 'Script']]
