animeTitle	b'Nekopara'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.76
animeUsers	45476
animeRank	
animePopularity	
animeDescription	b'The siblings Kashou and Shigure Minazuki enjoy the company of six catgirls. Chocola and Vanilla assist Kashou in his job as a baker at the patisserie La Soleil, while the others\xe2\x80\x94Coconut, Azuki, Cinnamon, and Maple\xe2\x80\x94accompany Shigure in her daily life back at their home.\n\nOne afternoon, when Chocola goes out for an errand, she notices a green-haired kitten alone by herself at a park and decides to bring her back to the patisserie. Soon after, the Minazuki household adopts her and gives her a name: Cacao. With a new member in their family, the members of the Minazuki household continue their everyday lives\xe2\x80\x94bound to become livelier than ever.\n\n[Written by MAL Rewrite]'
animeRelated	[b'Nekopara: Chocola & Vanilla', b'Nekopara OVA']
animeCharacters	[b'Vanilla', b'Chocola', b'Minazuki, Kashou', b'Coconut', b'Cinnamon', b'Maple', b'Azuki', b'Cacao', b'Minazuki, Shigure', b'Chiyo']
animeVoices	[b'\nSaeki, Iori\nJapanese\n', b'\nYagi, Yuki\nJapanese\n', b'\nTachibana, Shinnosuke\nJapanese\n', b'\nMizutani, Marin\nJapanese\n', b'\nNoguchi, Yuri\nJapanese\n', b'\nItou, Miku\nJapanese\n', b'\nIzawa, Shiori\nJapanese\n', b'\nMorishima, Yuuka\nJapanese\n', b'\nIchimichi, Mao\nJapanese\n', b'\nHondo, Kaede\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamamoto, Yasutaka\n\nDirector\n\n', b'\nTsuchida, Kasumi\n\nScript\n\n', b'\nSaxton, Jad\n\nADR Director\n\n', b'\nTateyama, Akiyuki\n\nMusic\n\n']
