animeTitle	Tsubaki Iro no Purijioone
animeType	OVA
animeNumEpisode	3
releaseDate	2002-06-25 00:00:00
endDate	2002-12-21 00:00:00
animeNumMembers	1556
animeScore	5.27
animeUsers	450
animeRank	
animePopularity	10088
animeDescription	"Saionji Akitsugu is the heir to his father's immense fortune. But, he hates his father as he holds him responsible for pushing his mother to kill herself. When his father dies, Saionji is the least bit inclined to claim his inheritance. But his newly arrived secretary, Sannomiya Rei convinces him otherwise. He finally arrives at his ancestral home - a palatial mansion brimming with pliant maids who, he presumes, existed for the sole purpose of servicing their now deceased master...

(Source: ANN)"
animeRelated	['Tsubaki-iro no Purijioone']
animeCharacters	['Saionji, Akitsugu', 'Hayami, Sayo']
animeVoices	['Houjou, Asuka']
animeStaff	[['Fujimoto, Jirou', 'Director, Script'], ['Mink', 'Original Creator'], ['Ogawa, Tamotsu', 'Key Animation']]
