animeTitle	Ginga Hyouryuu Vifam
animeType	TV
animeNumEpisode	46
releaseDate	
endDate	
animeNumMembers	
animeScore	7.16
animeUsers	576
animeRank	
animePopularity	8100
animeDescription	"AD. 2058, on the Clayad which was the 3rd planet of the Ypserlon system, which was 43 light years away from Earth, suddently aliens raided the planet.The emigrants on the Clayad had to escape from the planet. Because of the confusion during the escape, the children were strayed from their parents and got in the training space ship, Janous. With a lot of sacrifices, they managed to arrive at 4th planet Belwick. However, the Belwick had been already in the war. Therefore, the 13 children had to go to the Earth by themselves.

(Source: AnimeNfo)"
animeRelated	['Ginga Hyouryuu Vifam Recaps', 'Ginga Hyouryuu Vifam: Kieta 12-nin', 'Ginga Hyouryuu Vifam: Keito no Kioku - Namida no Dakkai Sakusen', 'Ginga Hyouryuu Vifam 13']
animeCharacters	['Lyan, Barts', 'Eril, Jimmy', 'Rowel, Maki', 'Pearson, Katue', 'Shuffle, Fred', 'Eliza, Pench', 'Publin, Sharon', 'Norton, Kentsu', 'Shuffle, Roddy', 'Barbland, Clare']
animeVoices	['Takemura, Hiroshi', 'Chijimatsu, Sachiko', 'Hamura, Kyouko', 'Kasahara, Hiroko', 'Kikuchi, Hidehiro', 'Akiyama, Runa', 'Hara, Eriko', 'Nozawa, Masako', 'Nanba, Katsuhiro', 'Tominaga, Miina']
animeStaff	[['Ueda, Masuo', 'Producer'], ['Kanda, Takeyuki', 'Director, Storyboard, Creator'], ['Hoshiyama, Hiroyuki', 'Script, Original Creator'], ['Itou, Tsunehisa', 'Script']]
