animeTitle	b'Spoon Oba-san'
animeType	b'TV'
animeNumEpisode	130
releaseDate	
endDate	
animeNumMembers	
animeScore	6.61
animeUsers	687
animeRank	
animePopularity	
animeDescription	b'An older woman wears a small spoon around her neck but every now and then, she shrinks to the size of a mouse because of the spoon. She sees the world then from a completely different perspective and has all kind of strange adventures together with Wendy, the mouse and many others.\n\n(Source: ANN)'
animeRelated	[b'Ringo no Mori no Koneko-tachi']
animeCharacters	[b'Mrs. Pepper Pot', b'Lily', b'Mr. Pepper Pot', b'Parsley, Dan']
animeVoices	[b'\nSenou, Reiko\nJapanese\n', b'\nShimamoto, Sumi\nJapanese\n', b'\nYanami, Jouji\nJapanese\n', b'\nOowada, Ritsuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHara, Shoji\n\nProducer\n\n', b'\nNanke, Kouji\n\nEpisode Director, Character Design\n\n', b'\nAmino, Tetsuro\n\nEpisode Director, Storyboard\n\n', b'\nHasegawa, Yasuo\n\nEpisode Director, Storyboard\n\n']
