animeTitle	The King of Fighters: Destiny
animeType	ONA
animeNumEpisode	24
releaseDate	2017-08-03 00:00:00
endDate	2018-01-04 00:00:00
animeNumMembers	
animeScore	6.57
animeUsers	1403
animeRank	
animePopularity	7680
animeDescription	CG anime adaptation of The King of Fighters fighting game franchise.
animeRelated	['Fatal Fury: The Motion Picture', 'Battle Spirits: Ryuuko no Ken', 'Fatal Fury: Legend of the Hungry Wolf', 'Fatal Fury 2: The New Battle', 'King of Fighters: Another Day', 'The King of Fighters XV', '']
animeCharacters	['Bogard, Terry', 'Kusanagi, Kyou', 'Daimon, Goro', 'Nikaido, Benimaru', 'Yagami, Iori', 'Shiranui, Mai', 'Asamiya, Athena', 'Howard, Geese', 'Bogard, Andy', 'Higashi, Joe']
animeVoices	['Kondou, Takashi', 'Maeno, Tomoaki', 'Fujiwara, Takahiro', 'Maezuka, Atsushi', 'Hoshino, Takanori', 'Koshimizu, Ami', 'Ikezawa, Haruna', 'Kong, Kuwata', 'Okamoto, Hiroshi', 'Mito, Kouzou']
animeStaff	[]
