animeTitle	Sore Ike! Anpanman: Sora Tobu Ehon to Glass no Kutsu
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14607
animeDescription	8th Anpanman short movie.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Cheese', 'Currypanman', 'Horrorman', 'Dokin-chan', 'Melonpanna', 'Shokupanman', 'Oji-san, Jam', 'Kabo-chan']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yamadera, Kouichi', 'Yanagisawa, Michiyo', 'Kimotsuki, Kaneta', 'Tsuru, Hiromi', 'Kanai, Mika', 'Shimamoto, Sumi', 'Masuoka, Hiroshi', 'Yoshino, Kimika']
animeStaff	[['Nagaoka, Akinori', 'Director'], ['Yamada, Etsuji', 'Sound Director'], ['Yanase, Takashi', 'Theme Song Lyrics, Original Creator'], ['Ootani, Kazuo', 'Theme Song Arrangement']]
