animeTitle	Kowabon
animeType	TV
animeNumEpisode	13
releaseDate	2015-10-04 00:00:00
endDate	2015-12-27 00:00:00
animeNumMembers	
animeScore	5.24
animeUsers	11414
animeRank	
animePopularity	3192
animeDescription	"In today's world full of wondrous technological innovation, the unnatural and mysterious sometimes appear even more horrifying than usual. But despite how far society has advanced, the fear of the unknown always remains. The unfortunate participants in Kowabon find themselves in such a predicament, experiencing the supernatural through their everyday technology. From a frightening sight caught on a parking garage camera to a video chat that takes an unexpected turn, the victims struggle to escape that which haunts them. However, what awaits these doomed souls may be a fate even worse than death...

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	['Fumino']
animeVoices	[]
animeStaff	[['Taketani, Kazuma', 'Director'], ['Kumamoto, Hiromu', 'Script'], ['Iwasaki, Takuya', 'Planning']]
