animeTitle	Anata dake Konbanwa
animeType	OVA
animeNumEpisode	5
releaseDate	2009-07-25 00:00:00
endDate	2011-10-21 00:00:00
animeNumMembers	
animeScore	6.86
animeUsers	2883
animeRank	
animePopularity	5839
animeDescription	"Shougo has just arrived  town after he was ordered to do so since his grandfather has just died, her parents are busy with work so they told him to go first. Shougo will be the one to inherit all family assets.  Shougo arrives at the residence that will be his new home and he receives a great welcome by the beautiful maid Youko-san. A strange event happens at night, he dreams with someone but cannot really tell who it is, all he knows is that her face looks familiar... Next day he goes to his new school, her fiancé Ayano introduces to him telling him that it was something their parents decided on their own and that she has not accepted him yet, Shougo is in shock since he didn't know about this and many people are now jealous and angry at him since Ayano is the school's idol. Not everything is bad as he has a very warm welcome by a voluptuous beautiful teacher. 

Later a ghost appears before him, is the girl he saw in his dream last night, what does this means? All Shougo knows is that he has seen that girl before but where? "
animeRelated	"[""Gosenzo San'e"", ""Zoku Gosenzo San'e""]"
animeCharacters	['Kotou, Ayane', 'Mizuchi, Mone', 'Mizuchi, Momoka', 'Otosumi, Youko', 'Sakurako, Rokuhira', 'Yoshisuzu, Shougo', 'Yoshisuzu, Sanji', 'Lambert, Beatrice', 'Neya, Takuya', 'Yoshisuzu, Reiko']
animeVoices	['Ishimatsu, Chiemi', 'Kawaragi, Shiho', 'Uchino, Pochi', 'Dodo, Asako', 'Terashima, Takuma', 'Abe, Atsushi', 'Okajima, Tae']
animeStaff	[['Kajishima, Masaki', 'Creator']]
