animeTitle	Osomatsu-san Short Film Series
animeType	Special
animeNumEpisode	7
releaseDate	
endDate	
animeNumMembers	
animeScore	6.54
animeUsers	1902
animeRank	
animePopularity	6601
animeDescription	Shorts included in the Osomatsu-san BD & DVD releases.
animeRelated	['Osomatsu-san', 'Osomatsu-san Short Film Series 2nd Season']
animeCharacters	['Matsuno, Ichimatsu', 'Matsuno, Karamatsu', 'Matsuno, Juushimatsu', 'Matsuno, Osomatsu', 'Matsuno, Choromatsu', 'Matsuno, Todomatsu', 'Iyami']
animeVoices	['Fukuyama, Jun', 'Nakamura, Yuuichi', 'Ono, Daisuke', 'Sakurai, Takahiro', 'Kamiya, Hiroshi', 'Irino, Miyu']
animeStaff	[]
