animeTitle	Shen Ming Zhi Zhou
animeType	ONA
animeNumEpisode	12
releaseDate	2015-12-02 00:00:00
endDate	2016-05-11 00:00:00
animeNumMembers	677
animeScore	
animeUsers	
animeRank	13193
animePopularity	12184
animeDescription	The series takes place in ancient times, where people worship totems and several unique tribes exist. The highly respected Totem Warriors have utmost faith in their beliefs and protect their tribes. The protagonist, though not initially set to becomes a Totem Warrior, is eventually placed on that path. And thus, his adventure begins.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
