animeTitle	Osu!! Karate-bu
animeType	OVA
animeNumEpisode	4
releaseDate	1990-10-21 00:00:00
endDate	1992-07-25 00:00:00
animeNumMembers	1686
animeScore	6.73
animeUsers	491
animeRank	4938
animePopularity	9884
animeDescription	"Tadashi Matsushita has recently entered the Kansai Fifth Technical High School and joined its notorious karate club. There he meets his captain, Yoshiyuki Takagi, an incredibly strong individual. Feared and respected throughout Osaka, Takagi is deep down an honorable and compassionate guy despite his violent endeavors.

(Source: ANN)"
animeRelated	['Osu!! Karate-bu']
animeCharacters	['Takagi, Yoshiyuki', 'Matsushita, Tadashi', 'Honda, Momochiyo', 'Kabata, Inasaku', 'Morigami, Shingo', 'Saitou, Takaaki']
animeVoices	['Genda, Tesshou', 'Matsumoto, Yasunori', 'Hayashibara, Megumi', 'Tatekabe, Kazuya', 'Ootaki, Shinya', 'Horikawa, Ryo']
animeStaff	[['Sekita, Osamu', 'Director'], ['Takahashi, Kouji', 'Original Creator'], ['Furumiya, Youko', 'Art Director']]
