animeTitle	b'Telepathy Shoujo Ran'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.63
animeUsers	2067
animeRank	
animePopularity	
animeDescription	"b""Ran is a bright and energetic first-grader in junior high school who possesses supernatual abilities. Together with Midori (her friend who also has supernatural powers) and Rui, the threesome are constantly embroiled in mysterious circumstances. Ran is troubled by her powers because it seems to spark off the ill intentions of people in contact with her. However, with the support of her family and peers, Ran learns to deal with her 'other' side and accepts who she is. The threesome also learn how to team up as a whole and solve these mysterious events. \n\n(Source: ANN)"""
animeRelated	"[b'Telepathy Shoujo ""Ran""']"
animeCharacters	[b'Naha, Midori', b'Isozaki, Ran', b'Ayase, Rui', b'Isozaki, Rin', b'Isozaki, Ronpei', b'Isozaki, Reina']
animeVoices	[b'\nUeda, Kana\nJapanese\n', b'\nKatou, Emiri\nJapanese\n', b'\nShimowada, Hiroki\nJapanese\n', b'\nSeki, Tomokazu\nJapanese\n', b'\nHoriuchi, Kenyuu\nJapanese\n', b'\nOkamura, Akemi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNoshitani, Mitsutaka\n\nEpisode Director\n\n', b'\nAsami, Matsuo\n\nEpisode Director\n\n', b'\nKoyama, Tomoko\n\nScript\n\n', b'\nHonda, Yasuyuki\n\nStoryboard\n\n']
