animeTitle	b'Mahou no Star Magical Emi'
animeType	b'TV'
animeNumEpisode	38
releaseDate	
endDate	
animeNumMembers	
animeScore	6.73
animeUsers	972
animeRank	
animePopularity	
animeDescription	"b'Kozuki Mai is an elementary student who wants to be a magician and perform in her family\'s ""Magicarat"" magical act; however, she is too young, and her magic skills are not very good. Then one day, she encounters a ball of light that was put into a stuffed doll of flying squirrel, bringing it to life and somehow giving her the power to turn in to the 18-year-old magician ""Magical Emi."" As Emi, Mai was able to join the magic act. But she must keep her identity a secret from her family and from her crush.'"
animeRelated	[b'Majokko Club Yoningumi: A Kuukan kara no Alien X', b'Adesugata Mahou no Sannin Musume', b'Mahou no Star Magical Emi: Kumo Hikaru', b'Mahou no Star Magical Emi: Semishigure', b'Mahou no Star Magical Emi: Finale! Finale!']
animeCharacters	[b'Kazuki, Mai', b'Nakamori, Yousuke', b'Hirota, Yukiko', b'Matsuo, Akira', b'Shiozawa, Susumu', b'Matsuoka', b'Kokubunji, Madoka', b'Nakamori, Haruko', b'Koganei, Musashi', b'Topo']
animeVoices	[b'\nObata, Youko\nJapanese\n', b'\nYanami, Jouji\nJapanese\n', b'\nOkamoto, Maya\nJapanese\n', b'\nOotaki, Shinya\nJapanese\n', b'\nKameyama, Sukekiyo\nJapanese\n', b'\nHayami, Show\nJapanese\n', b'\nChiba, Shigeru\nJapanese\n', b'\nMine, Atsuko\nJapanese\n', b'\nIkura, Kazue\nJapanese\n', b'\nTatsuta, Naoki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAnnou, Takashi\n\nDirector\n\n', b'\nFujiyama, Fusanobu\n\nSound Director\n\n', b'\nTakayama, Fumihiko\n\nEpisode Director, Storyboard\n\n', b'\nSonoda, Hideki\n\nScript\n\n']
