animeTitle	Hininden: Gauss
animeType	OVA
animeNumEpisode	1
releaseDate	2005-12-22 00:00:00
endDate	
animeNumMembers	
animeScore	5.69
animeUsers	765
animeRank	
animePopularity	9188
animeDescription	When Daisuke expressed love towards his girlfriend, he was taken away by the moonlight but little to his surprise that He was now the man of Guass. And now he must bear the burden that the man of Gauss carries and try to save the ancient world. 
animeRelated	[]
animeCharacters	['Momoka']
animeVoices	['Takano, Naoko']
animeStaff	[['Rinshin', 'Character Design, Animation Director, Original Creator'], ['Ooshiro, Tsutomu', 'Key Animation'], ['Suginami, Daifuku', 'Key Animation'], ['Shura, Tooru', 'Music']]
