animeTitle	b'Kyouryuu Shoujo Gauko'
animeType	b'ONA'
animeNumEpisode	20
releaseDate	
endDate	
animeNumMembers	
animeScore	6.19
animeUsers	665
animeRank	
animePopularity	
animeDescription	b'The comedy series is set in Japan and follows Naoko Watanabe, a typical tween girl aside from the fact that she possesses strange and sometimes troubling powers. When her anger exceeds a maximum level, she turns into Gauko, the fire-breathing dinosaur girl. \n\n(Source: Variety)'
animeRelated	[b'Kyouryuu Shoujo Gauko 2nd Season']
animeCharacters	[b'Watanabe, Naoko', b'Bibilian', b'Ninja-kun', b'Kinpika', b'Leonard', b'Sawa-neh', b'Erika', b'Mr. R3', b'Hosoi', b'Tomomin']
animeVoices	[b'\nMatsui, Naoko\nJapanese\n']
animeStaff	[]
