animeTitle	Jinki:Extend - Sorekara
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.17
animeUsers	1074
animeRank	
animePopularity	8667
animeDescription	"Aoba is a young girl who loves to build models of robots. She lived alone with her grandmother until her grandmother passes away. Shortly after she is kidnapped and brought to a secret base where she discovers a huge robot. The piloted robots fight against Ancient-Jinki in The Grand Savanna, but the true meaning behind the fights is hidden. Aoba works hard at the base so one day she can pilot one of the robots and discover these secrets.
"
animeRelated	['Jinki:Extend']
animeCharacters	['Tsuzaki, Aoba', 'Ogawara, Ryouhei', 'Kousaka, Rui', 'Kousaka, Minami']
animeVoices	['Orikasa, Fumiko', 'Takewaka, Takuma', 'Takamori, Yoshino']
animeStaff	[['Chung, Jin Ho', 'Producer'], ['Hosoda, Naoto', 'Character Design']]
