animeTitle	Colorful Ninja Iromaki
animeType	Movie
animeNumEpisode	1
releaseDate	2016-03-19 00:00:00
endDate	
animeNumMembers	
animeScore	5.96
animeUsers	326
animeRank	
animePopularity	10689
animeDescription	"Third-grader Himeno moves to a huge mansion in the country. However, she soon finds out it's a ninja house! The ninjas Akamaki, Aomaki, and Kiiromaki mistake Himeno for a princess and begin solving problems for her with their own unique skills. But that is not the full extent of their powers! When Aomaki and Kiiromaki combine, they form Midorimaki. Similarly, when Akamaki and Aomaki combine, they form Murasakimaki; and when Akamaki and Kiiromaki combine, they form Daidaimaki. Life with these colorful ninjas has only begun when they discover a large tornado heading for the mansion. What will happen to Himeno's family? Can the colorful ninjas protect Himeno?

(Source: MAL News)"
animeRelated	['Utopa', 'Kacchikenee!', 'Kaze no Matasaburou (Movie)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
