animeTitle	Osomatsu-kun
animeType	TV
animeNumEpisode	56
releaseDate	1966-02-05 00:00:00
endDate	1967-03-25 00:00:00
animeNumMembers	
animeScore	6.45
animeUsers	466
animeRank	
animePopularity	8267
animeDescription	"A wacky comedy about identical sextuplets causing wild pranks. Each episode features 2 stories. 

(Source: AniDB)"
animeRelated	['Osomatsu-kun', 'Osomatsu-kun (1988)', 'Bakabon Osomatsu no Karee wo Tazunete Sansenri']
animeCharacters	['Matsuno, Ichimatsu', 'Matsuno, Karamatsu', 'Matsuno, Juushimatsu', 'Matsuno, Osomatsu', 'Matsuno, Choromatsu', 'Matsuno, Todomatsu', 'Iyami', 'Chibita', 'Yowai, Totoko', 'Dayon']
animeVoices	['Kitahama, Haruko', 'Shiraishi, Fuyumi', 'Azuma, Mie', 'Katou, Midori', 'Yamamoto, Keiko', 'Kobayashi, Kyoji']
animeStaff	[['Yamamoto, Zenjirou', 'Producer'], ['Suzuki, Shinichi', 'Episode Director, Storyboard, Animation Director, Key Animation'], ['Nagasawa, Makoto', 'Episode Director, Storyboard, Key Animation'], ['Akatsuka, Fujio', 'Original Creator']]
