animeTitle	b'Cinderella Girls Gekijou Specials'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.3
animeUsers	457
animeRank	
animePopularity	
animeDescription	b'Unaired episodes of Cinderella Girls Gekijou included in the DVD and Blu-ray release.'
animeRelated	[b'Cinderella Girls Gekijou', b'Cinderella Girls Gekijou 2nd Season Specials']
animeCharacters	[b'Shimamura, Uzuki', b'Jougasaki, Rika', b'Akagi, Miria', b'Tachibana, Arisu', b'Oikawa, Shizuku', b'Totoki, Airi', b'Katagiri, Sanae', b'Igarashi, Kyouko', b'Producer']
animeVoices	[b'\nOhashi, Ayaka\nJapanese\n', b'\nYamamoto, Nozomi\nJapanese\n', b'\nKurosawa, Tomoyo\nJapanese\n', b'\nSatou, Amina\nJapanese\n', b'\nNoguchi, Yuri\nJapanese\n', b'\nHarada, Hitomi\nJapanese\n', b'\nWaki, Azumi\nJapanese\n', b'\nTanezaki, Atsumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUchida, Maaya\n\nTheme Song Performance\n\n', b'\nHanamori, Yumiri\n\nTheme Song Performance\n\n', b'\nWaki, Azumi\n\nTheme Song Performance\n\n', b'\nHarada, Sayaka\n\nTheme Song Performance\n\n']
