animeTitle	Sei Yariman Gakuen Enkou Nikki The Animation
animeType	OVA
animeNumEpisode	1
releaseDate	2013-02-22 00:00:00
endDate	
animeNumMembers	
animeScore	7.11
animeUsers	4738
animeRank	
animePopularity	5000
animeDescription	"Saiki Yasuo is a 45-year-old office worker. After 20 years of marriage, his wife asked for a divorce and left him. Now, depressed, he spends the nights drinking alone, until one night a girl from the St. Marian Academy approaches him looking for a client.

*Based on a doujin game by Orcsoft.

(Source: VNDB)"
animeRelated	['Sei Yariman Gakuen Enkou Nikki', 'Okusama wa Moto Yariman', 'Shin Sei Yariman Gakuen Enkou Nikki The Animation']
animeCharacters	['Misono, Miho', 'Rei', 'Yasuo, Saiki']
animeVoices	['Misonoo, Mei', 'Tezuka, Ryouko']
animeStaff	[['Nishikawa, Takashi', 'Director, Character Design'], ['Orc Soft', 'Original Creator'], ['Katahira, Shinji', 'Art Director'], ['Mario', 'Original Character Design']]
