animeTitle	Sore Ike! Anpanman: Kirakira Boshi no Namida
animeType	Movie
animeNumEpisode	1
releaseDate	1989-11-03 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13859
animeDescription	Anpanman helps the princess Nandananda to find the The Shining Star's Tear.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Currypanman', 'Cheese', 'Dokin-chan', 'Oji-san, Jam', 'Shokupanman', 'Nanda Nandahime', 'Batako-san', 'Ramen Angel']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yanagisawa, Michiyo', 'Yamadera, Kouichi', 'Tsuru, Hiromi', 'Masuoka, Hiroshi', 'Shimamoto, Sumi', 'Orikasa, Ai', 'Sakuma, Rei', 'Shou, Mayumi']
animeStaff	[['Nagaoka, Akinori', 'Director'], ['Maeda, Minoru', 'Animation Director, Character Design'], ['Yokoyama, Yukihiro', 'Art Director'], ['Kanbara, Toshiaki', 'Key Animation']]
