animeTitle	Meikyuu Black Company
animeType	TV
animeNumEpisode	12
releaseDate	2021-07-09 00:00:00
endDate	2021-09-24 00:00:00
animeNumMembers	122895
animeScore	7.36
animeUsers	43454
animeRank	2131
animePopularity	1376
animeDescription	"Kinji, who lacks any kind of work ethic, is a layabout in his modern life. One day, he finds himself transported to another world—but not in a grand fantasy of a hero welcomed with open arms. He's immediately shoved into a terrible job! Now enslaved by an evil mining company in a fantasy world, Kinji's about to really learn the meaning of hard work!

(Source: Seven Seas Entertainment)
"
animeRelated	['Meikyuu Black Company', 'Shimi']
animeCharacters	['Rimu', 'Ninomiya, Kinji', 'Wanibe', 'Ranga', 'Shia', 'Meikyuu Ari A', 'Shubach, Veruza', 'Goblin Joushi']
animeVoices	['Kuno, Misaki', 'Konishi, Katsuyuki', 'Shimono, Hiro', 'Ichimichi, Mao', 'Toda, Megumi', 'Matsuoka, Yoshitsugu', 'Satou, Satomi', 'Takagi, Wataru']
animeStaff	[['Minato, Mirai', 'Director'], ['Koizumi, Kisuke', 'Sound Director'], ['HOWL BE QUIET', 'Theme Song Arrangement, Theme Song Performance'], ['Mieno, Hitomi', 'Series Composition']]
