animeTitle	Kabukichou Sherlock OVA
animeType	OVA
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.69
animeUsers	1238
animeRank	
animePopularity	6634
animeDescription	A fun collection of six short side stories depicting the past and present of Sherlock, Watson, Moriarty, and the rest of the Row House as they go about their everyday lives in their home of Kabukicho.
animeRelated	['Kabukichou Sherlock']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
