animeTitle	Monster Musume no Oishasan
animeType	TV
animeNumEpisode	12
releaseDate	2020-07-12 00:00:00
endDate	2020-09-27 00:00:00
animeNumMembers	155662
animeScore	6.52
animeUsers	64282
animeRank	6035
animePopularity	1155
animeDescription	"After years of conflict, humans and monsters have settled their differences and are now at peace. This post-war era led to the foundation of Lindworm—a town which has since become the focal point of racial harmony.

As a human doctor specializing in monster biology, Glenn Litbeit runs a small clinic alongside his partner, Saphentite Neikes, who is a half-snake monster known as a lamia. He uses his knowledge to tend to any monsters who seek his aid. Whatever affliction, concern, or injury it may be, he will always be there, ready to help.

[Written by MAL Rewrite]"
animeRelated	['Monster Musume no Oishasan']
animeCharacters	['Neikes, Saphentite', 'Litbeit, Glenn', 'Dragenfelt, Skadi', 'Heine, Lulala', 'Illy', 'Scythia, Tisalia', 'Arachnida, Arahnia Taranterra', 'Arte, Kay', 'Zenou, Kunai', 'Squele, Cthulhy']
animeVoices	['Oonishi, Saori', 'Toki, Shunichi', 'Tanezaki, Atsumi', 'Fujii, Yukiyo', 'Suzushiro, Sayumi', 'Bridcutt, Sarah Emi', 'Shimamura, Yuu', 'Fairouz, Ai', 'Kawase, Maki', 'Yukana']
animeStaff	[['Iwasaki, Yoshiaki', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Kawaguchi, Taishi', 'Episode Director'], ['Suzuki, Aina', 'Theme Song Performance']]
