animeTitle	Hataage! Kemono Michi
animeType	TV
animeNumEpisode	12
releaseDate	2019-10-02 00:00:00
endDate	2019-12-18 00:00:00
animeNumMembers	160061
animeScore	6.64
animeUsers	72985
animeRank	5381
animePopularity	1111
animeDescription	"Professional wrestler Genzou Shibata sports the body of a mountain, but beneath his hulking appearance is a man with an extreme affection for animals. Facing off his opponents in the ring as the legendary ""Animal Mask,"" Genzou wins the hearts of crowds everywhere with his iconic tiger persona.

During the bout for the title of World Champion against his greatest rival, the Macadamian Ogre, Genzou is suddenly summoned to a fantasy world by a princess. With her kingdom being threatened by a monster infestation, she pleads the wrestler for assistance—to which he answers by knocking her out with a German suplex! Escaping the castle and finding himself stranded in a mysterious land, Genzou decides to begin his career as a beast hunter to capture and befriend creatures far and wide. Joined by the wolf-girl Shigure, the dragon-girl Hanako, and the vampire Carmilla Vanstein, the professional wrestler pursues all kinds of dangerous requests for the sake of fulfilling his dream as a pet shop owner.

[Written by MAL Rewrite]"
animeRelated	['Kemono Michi']
animeCharacters	['Shigure', 'Shibata, Genzou', 'Hiroyuki', 'Hanako', 'Edgardo Latis, Altena', 'Joannascore Adorian Uljika, Joanna', 'Vanstein, Carmilla', 'Misha', 'Celes', 'Rose']
animeVoices	['Sekine, Akira', 'Konishi, Katsuyuki', 'Suegara, Rie', 'Yagi, Yuki', 'Amamiya, Sora', 'Sakuraba, Arisa', 'Tamegai, Hana', 'Koga, Aoi', 'Aoi, Kana']
animeStaff	[['Miura, Kazuya', 'Director'], ['Konishi, Katsuyuki', 'Theme Song Performance'], ['Akatsuki, Natsume', 'Original Creator'], ['Machida, Touko', 'Series Composition']]
