animeTitle	b'Astarotte no Omocha! EX'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.62
animeUsers	17176
animeRank	
animePopularity	
animeDescription	"b""The OVA Astaroette no Omocha is a three part short story series. In the first story, Lotte and Asuha find themselves searching for details about their school project. In the second bit, is the backstory to how Zelda came to be Lotte's bodyguard. The final of the three, is a flashback of how the queen met Naoya and how they conceived Asuha ten years prior to the events in the anime.\n\n(Source: ANN)"""
animeRelated	[b'Rotte no Omocha!', b'Astarotte no Omocha!']
animeCharacters	[b'Ygvar, Astarotte', b'Touhara, Asuha', b'Ygvar, Mercelida', b'Touhara, Naoya', b'Sorveig Sorgrims, Ingrid', b'Reginhard, Griselda', b'Mirjasdottir, Elfreda', b'Snorrevik, Judith', b'Signar, Unnbjorg', b'Frismar, Olaf']
animeVoices	[b'\nKugimiya, Rie\nJapanese\n', b'\nTamura, Yukari\nJapanese\n', b'\nMinaguchi, Yuko\nJapanese\n', b'\nSatou, Rina\nJapanese\n', b'\nSaitou, Chiwa\nJapanese\n', b'\nFujimura, Ayumi\nJapanese\n', b'\nHorie, Yui\nJapanese\n', b'\nNabatame, Hitomi\nJapanese\n', b'\nHirohashi, Ryou\nJapanese\n', b'\nCho\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOizaki, Fumitoshi\n\nDirector\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nMieno, Hitomi\n\nScript, Series Composition\n\n', b'\nKouno, Takamitsu\n\nScript\n\n']
