animeTitle	b'Brandish'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.68
animeUsers	6477
animeRank	
animePopularity	
animeDescription	"b""Twiska enjoys visiting local towns and draining the villagers of their cum. Everything is going along well until she encounters Theo, the legendary Hero destined to defeat her. Theo is a cute shouta and addictively good at sex. Now Twiska isn't sure anymore whether she wants to kill him or keep him for herself. """
animeRelated	[b'Brandish']
animeCharacters	[b'Twiska', b'Theo']
animeVoices	[b'\nKurata, Mariya\nJapanese\n', b'\nOokubo, Aiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKasahara, Shinpei\n\nDirector\n\n', b'\nShinkai, Kouki\n\nEditing\n\n', b'\nSakai, Keishi\n\nKey Animation\n\n']
