animeTitle	Tribe Nine
animeType	TV
animeNumEpisode	Unknown
releaseDate	2022-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	9908
animeDescription	"Haru Shirogane is a weak-minded person who is constantly bullied while Taiga has traveled from across the sea in hopes of becoming the strongest man in the world. One night, the two meet up with Shun Kamiya, the strongest XB (Extreme Baseball) player, and leader of the Minato Tribe. When they meet, each of the Tribes scattered throughout Neo-Tokyo are about to face a major threat.

On the orders of the King of Neo-Tokyo, ""Houtenshin"", the Chiyoda Try, led by the mysterious Ojiro Otori, has started to take control of all the tribes in the country. Their evil clutches are about to reach the Minato Tribe...

(Source: MAL News)"
animeRelated	[]
animeCharacters	['Taiga', 'Daimon, Manami', 'Aoyama, Kazuki', 'Mita, Santarou', 'Arisugawa, Saori', 'Shirokane, Haru', 'Kamiya, Shun', 'Kamiki, Yui', 'Otori, Oujirou', 'Otori, Tenshin']
animeVoices	['Sawashiro, Chiharu', 'Ochiai, Fukushi', 'Chiba, Shouya', 'Tamura, Mutsumi', 'Fuchigami, Mai', 'Horie, Shun', 'Ishida, Akira', 'Komatsu, Mikako', 'Suwabe, Junichi', 'Naka, Hiroshi']
animeStaff	[['Aoki, Yuu', 'Director'], ['Kodaka, Kazutaka', 'Original Creator'], ['Takada, Masafumi', 'Music'], ['Komatsuzaki, Rui', 'Original Character Design']]
