animeTitle	Tantei Gakuen Q
animeType	TV
animeNumEpisode	45
releaseDate	2003-04-15 00:00:00
endDate	2004-03-20 00:00:00
animeNumMembers	
animeScore	7.75
animeUsers	12166
animeRank	
animePopularity	3243
animeDescription	Kyuu is your average boy with a knack for logic and reasoning. Desiring to become a detective, he finds out about the existence of the Dan Detective School (DDS); a famed school where students are allowed to bear arms. Together with Megu, a girl with photographic memory, the martial arts master Kinta, the genius programmer Kazuma and the mysterious Ryuu, Kyuu tackles many well planned out crimes, always seeking the truth.
animeRelated	['Tantei Gakuen Q']
animeCharacters	['Amakusa, Ryuu', 'Renjo, Kyuu', 'Minami, Megumi', 'Tooyama, Kintarou', 'Narusawa, Kazuma', 'Yukihira, Sakurako', 'Dan, Morihiko', 'Shigeta, Kumi', 'Nanami, Koutarou', 'Fuuma, Mio']
animeVoices	['Toochika, Kouichi', 'Ogata, Megumi', 'Kuwashima, Houko', 'Ishikawa, Hideo', 'Kawakami, Tomoko', 'Yukino, Satsuki', 'Tanaka, Hideyuki', 'Hayashibara, Megumi', 'Miki, Shinichiro', 'Sakuma, Kumi']
animeStaff	[['Abe, Noriyuki', 'Director, Episode Director, Storyboard'], ['Kuzuya, Naoyuki', 'Episode Director'], ['Noshitani, Mitsutaka', 'Episode Director'], ['Tokairin, Shinichi', 'Episode Director']]
