animeTitle	Wakakusa no Charlotte
animeType	TV
animeNumEpisode	30
releaseDate	1977-10-29 00:00:00
endDate	1978-05-27 00:00:00
animeNumMembers	2226
animeScore	6.67
animeUsers	561
animeRank	5238
animePopularity	9145
animeDescription	Charlotte is a girl who lives on a farm in Canada. On her 12th birthday, her father tells her that her mother, whom Charlotte has always believed to be dead, is actually alive and living in Paris, but soon she will arrive to live with them! Charlotte is very upset about this at first, but just when she adjusts to the idea, her father soon dies! Now Charlotte must face many challenges to live. She discovers that her father was from a noble family and her grandfather wants to force Charlotte to return to the family. She doesn't know her mother at all. Meanwhile, a landowner is trying to steal away her father's farm! Poor Charlotte...
animeRelated	[]
animeCharacters	['Charlotte']
animeVoices	['Yokozawa, Keiko']
animeStaff	[['Yoshida, Hiroshi', 'Storyboard'], ['Ootsuka, Shinji', 'Key Animation'], ['Yukimuro, Shunichi', 'Screenplay'], ['Mizumura, Juuji', 'Animation Director']]
