animeTitle	Minami-ke Tadaima
animeType	TV
animeNumEpisode	13
releaseDate	2013-01-06 00:00:00
endDate	2013-03-31 00:00:00
animeNumMembers	
animeScore	7.67
animeUsers	22739
animeRank	
animePopularity	2457
animeDescription	"The everyday lives of the Minami sisters continue. Chiaki, the youngest, continues to call people idiots while worshipping her eldest sister. Kana, the middle, still can't figure out that Fujioka's feelings for her are a crush, not a grudge. Haruka, the eldest, still unknowingly avoids Hosaka's advances to invite her to the volleyball team, and after a long day of excitement, the sisters enjoy sitting at the table at their home.

(Source: ANN)"
animeRelated	['Minami-ke', 'Minami-ke Omatase', 'Minami-ke Natsuyasumi']
animeCharacters	['Minami, Kana', 'Minami, Chiaki', 'Minami, Haruka', 'Hosaka', 'Makoto', 'Minami, Touma', 'Uchida, Yuka', 'Hitomi', 'Fujioka', 'Minami, Natsuki']
animeVoices	['Inoue, Marina', 'Chihara, Minori', 'Satou, Rina', 'Ono, Daisuke', 'Morinaga, Rika', 'Mizuki, Nana', 'Kitamura, Eri', 'Saitou, Ayaka', 'Kakihara, Tetsuya', 'Yoshino, Hiroyuki']
animeStaff	[['Yamanaka, Takahiro', 'Producer'], ['Kawaguchi, Keiichirou', 'Director, Storyboard'], ['Ebina, Yasunori', 'Sound Director'], ['Oikawa, Kei', 'Episode Director, Storyboard']]
