animeTitle	Black Cat (TV): Toozakaru Neko
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.11
animeUsers	9087
animeRank	
animePopularity	3953
animeDescription	Black Cat DVD only episode.
animeRelated	['Black Cat (TV)']
animeCharacters	['Heartnet, Train', 'Eve', 'Vollfied, Sven', 'Walker, Rinslet', 'Minatsuki, Saya', 'Diskenth, Creed', 'Kirisaki, Kyouko', 'Lunatique, Tearju', 'Arks, Sephiria', 'Hazard, Jenos']
animeVoices	['Kondou, Takashi', 'Fukuen, Misato', 'Fujiwara, Keiji', 'Yukana', 'Toyoguchi, Megumi', 'Miki, Shinichiro', 'Chiba, Chiemi', 'Inoue, Kikuko', 'Sakurai, Takahiro']
animeStaff	[['Itagaki, Shin', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Yorico', 'Theme Song Performance'], ['Iwasaki, Taku', 'Music']]
