animeTitle	b'Date A Live'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.19
animeUsers	474853
animeRank	
animePopularity	
animeDescription	"b'Thirty years ago, the Eurasian continent was devastated by a supermassive ""spatial quake""\xe2\x80\x94a phenomenon involving space vibrations of unknown origin\xe2\x80\x94resulting in the deaths of over 150 million people. Since then, these quakes have been plaguing the world intermittently, albeit on a lighter scale.\n\nShidou Itsuka is a seemingly average high school student who lives with his younger sister, Kotori. When an imminent spatial quake threatens the safety of Tengu City, he rushes to save her, only to be caught in the resulting eruption. He discovers a mysterious girl at its source, who is revealed to be a ""Spirit,"" an otherworldly entity whose appearance triggers a spatial quake. Soon after, he becomes embroiled in a skirmish between the girl and the Anti-Spirit Team, a ruthless strike force with the goal of annihilating Spirits.\n\nHowever, there is a third party that  believes in saving the spirits: ""Ratatoskr,"" which surprisingly is commanded by Shidou\'s little sister!  Kotori forcibly recruits Shidou after the clash, presenting to him an alternative method of dealing with the danger posed by the Spirits\xe2\x80\x94make them fall in love with him. Now, the fate of the world rests on his dating prowess, as he seeks out Spirits in order to charm them.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Date A Live', b'Date A Live: Date to Date', b'Date A Bullet: Dead or Bullet']
animeCharacters	[b'Yatogami, Tooka', b'Tobiichi, Origami', b'Yoshino', b'Itsuka, Kotori', b'Itsuka, Shidou', b'Tokisaki, Kurumi', b'Murasame, Reine', b'Takamiya, Mana', b'Kannazuki, Kyouhei', b'Fujibakama, Mii']
animeVoices	[b'\nInoue, Marina\nJapanese\n', b'\nTogashi, Misuzu\nJapanese\n', b'\nNomizu, Iori\nJapanese\n', b'\nTaketatsu, Ayana\nJapanese\n', b'\nShimazaki, Nobunaga\nJapanese\n', b'\nSanada, Asami\nJapanese\n', b'\nEndou, Aya\nJapanese\n', b'\nMisato\nJapanese\n', b'\nKoyasu, Takehito\nJapanese\n', b'\nTsukimiya, Midori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMotonaga, Keitarou\n\nDirector\n\n', b'\nEbina, Yasunori\n\nSound Director\n\n', b'\nKimura, Shinichiro\n\nEpisode Director, Storyboard\n\n', b'\nAndou, Takashi\n\nEpisode Director\n\n']
