animeTitle	Yakata Jukujo
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.06
animeUsers	1772
animeRank	
animePopularity	7347
animeDescription	"Ryo and his stepmother Madoka lived happily together, lusting after each other but content to just watch each other from a distance without doing anything about it. Until one day Ryo discovered that his stepmom was indebted to the Yotsuya family. In order to help her he offered to sell himself and work for Akie Yotsuya, the head of the family. But he had no idea what awaited him in the mansion... At first it was just Ryo, Akie, and Fumi, the maid. But soon two more people moved in: Reiko, Akie’s sister... and Madoka, Ryo's mother. And as time passed Ryo discovered that the four women he was sharing the mansion with are connected in more ways than one... 

(Source: ANN) "
animeRelated	[]
animeCharacters	['Hayasaka, Reiko', 'Yotsuya, Akie', 'Ooki, Fumi', 'Tatsumi, Madoka', 'Tatsumi, Ryou']
animeVoices	['Yoshida, Airi', 'Tanaka, Ryouko']
animeStaff	[['Kusatsu, Terunyo', 'Original Character Design'], ['Tsubone, Kentarou', 'Editing'], ['Guilty', 'Original Creator']]
