animeTitle	b'Nourin'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.78
animeUsers	67550
animeRank	
animePopularity	
animeDescription	b'Idol-obsessed Kousaku Hata is left devastated when his favorite, Yuka Kusakabe, unexpectedly announces her retirement at the peak of an illustrious career. As Yuka\xe2\x80\x99s biggest fan, this news proves to be more difficult than he can bear. Shaken to his very core, he sinks into depression and places himself in self-imposed isolation. However, on the day his friends managed to convince him to attend school again, he gets a pleasant surprise.\n\nIt turns out that his beloved idol, under the guise of Ringo Kinoshita, has transferred into his class. This miraculous development fills Kousaku with newfound resolve, as he dedicates himself to take advantage of the once-in-a-lifetime opportunity. With the support of his teacher and friends, Kousaku works toward getting close to the girl of his dreams and uncovering the reason for her retirement from the entertainment industry.\n\n[Written by MAL Rewrite]'
animeRelated	[b'Nourin']
animeCharacters	[b'Kinoshita, Ringo', b'Nakazawa, Minori', b'Hata, Kousaku', b'Kamatori, Kei', b'Bekki, Natsumi', b'Yoshida, Kochou', b'Wakadanna', b'Suzuki, Akari', b'Kanegami, Torao', b'Hanazono, Kaoru']
animeVoices	[b'\nTamura, Yukari\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nAsanuma, Shintaro\nJapanese\n', b'\nHatano, Wataru\nJapanese\n', b'\nSaitou, Chiwa\nJapanese\n', b'\nInoue, Marina\nJapanese\n', b'\nKatou, Emiri\nJapanese\n', b'\nOotsubo, Yuka\nJapanese\n', b'\nHigashiuchi, Mariko\nJapanese\n', b'\nTaniyama, Kishou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOonuma, Shin\n\nDirector\n\n', b'\nSatou, Hikaru\n\nEpisode Director\n\n', b'\nTamamura, Jin\n\nEpisode Director, Storyboard\n\n', b'\nNihei, Yuuichi\n\nStoryboard\n\n']
