animeTitle	Bakukyuu Hit! Crash B-Daman
animeType	TV
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	6.1
animeUsers	558
animeRank	
animePopularity	9839
animeDescription	"Hitto Tamaga, an 11-year-old boy, lives in some town in Japan. He is a very unfortunate boy, whose only asset is brightness. He lives only with his father who is a Bedaman researcher, but he left home several months ago, and he's been missing since then. He is living alone in a hut built on a relative’s land. Nobody celebrates his 11th birthday...except his cousin Nana who lives in the same land. One day, Hitto receives a present from the lost father, and he is very grad to know that his father remembers his birthday. It is “Crash Bedaman” that he longed for. After he puts them together to complete Crash Bedaman, he brings it to Bee Park, or a battle field of Beedaman. A battle there shows him a new way he should go.

There is a message from his father with the present.

“Overcome the difficulties”.

Putting this word in his mind, he beats the enemies one after another with his Bedaman. With the encounter of partners and rivals, the mystery of Bedaman, a shadow organization, and the reason of the missing of his father gradually come to light. Defeating various obstacles in his way, he’s growing up. (Source: AnimeNFO)"
animeRelated	['Bakkyuu HIT! Crash B-daman', 'Cross Fight B-Daman']
animeCharacters	['Kuraki, Kodoh', 'Kamioka, Teruma', 'Sendo, Nana', 'Tamaga, Hitto', 'Sanada, Jubee', 'Tsukino, Konta']
animeVoices	['Takano, Urara', 'Kamiya, Hiroshi', 'Kanda, Akemi', 'Sasajima, Kaoru', 'Koyama, Rikiya', 'Fukuen, Misato']
animeStaff	[['Okumura, Yoshiaki', 'Director'], ['Takahashi, Hideo', 'Sound Director'], ['Kawaguchi, Keiichirou', 'Storyboard'], ['Lia', 'Theme Song Performance']]
