animeTitle	Lunatic Night
animeType	OVA
animeNumEpisode	3
releaseDate	1996-09-21 00:00:00
endDate	1997-09-26 00:00:00
animeNumMembers	1390
animeScore	5.6
animeUsers	429
animeRank	
animePopularity	10337
animeDescription	"Humankind has almost reached extinction. Only one male remains, with two females and a human-like catgirl. Of course, the labor now is to repopulate Earth, so the male has to do his job. But along with having sex almost every day they have to reclaim lands of another species living on the Earth, so the sex-battles must commence.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
