animeTitle	Blade
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.23
animeUsers	9766
animeRank	
animePopularity	3601
animeDescription	"The story revolves around Blade, a ""Daywalker"" vampire hunter who was born with vampire and human blood after a vampire attacked his mother. While visiting Japan on a mission, Blade tracks down Deacon Frost, the vampire who killed his mother. Blade confronts ""Existence,"" a mysterious organization composed of vampires modified by Frost. 

(Source: ANN)"
animeRelated	['Wolverine']
animeCharacters	['Brooks, Eric', 'Makoto', 'Howlett, James', 'Mikage, Kikyou', 'Agus', 'Isaac, Lucius', 'Frost, Edgar', 'Lupit', 'Carol', 'Radu']
animeVoices	['Minagawa, Junko', 'Sakamoto, Maaya', 'Koyama, Rikiya', 'Hagiwara, Masato', 'Ueda, Yuuji', 'Touchi, Hiroki', 'Fukuda, Kenji', 'Neya, Michiko', 'Ohara, Sayaka', 'Yoshino, Hiroyuki']
animeStaff	[['Masuhara, Mitsuyuki', 'Director, Episode Director, Storyboard'], ['Takamura, Yuuta', 'Episode Director'], ['Tanaka, Tomoya', 'Episode Director'], ['Araki, Tetsurou', 'Storyboard']]
