animeTitle	b'Shakugan no Shana-tan S'
animeType	b'Special'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.88
animeUsers	10261
animeRank	
animePopularity	
animeDescription	b'Shana-tan specials bundled with the Shakugan no Shana S Blu-ray and DVD.\n\nEpisodes\n#1: Shakugan no Shana-tan G\n#2: Shakugan no Shana-tan 2dos\n#3: Shakugan no Shana-tan 3tri\n#4: Shakugan no Shana-tan FRONTIER'
animeRelated	[b'Shakugan no Shana-tan II (Second)', b'Shakugan no Shana S', b'Shakugan no Shana-tan III (Final): Final Destruction']
animeCharacters	[b'Shana', b'Sakai, Yuuji', b'Yoshida, Kazumi', b'Carmel, Wilhelmina', b'Daw, Margery', b'Satou, Keisaku', b'Ike, Hayato', b'Tiamat']
animeVoices	[b'\nKugimiya, Rie\nJapanese\n', b'\nHino, Satoshi\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nNabatame, Hitomi\nJapanese\n', b'\nNojima, Kenji\nJapanese\n', b'\nNojima, Hirofumi\nJapanese\n', b'\nWatanabe, Akeno\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNakayama, Nobuhiro\n\nProducer\n\n', b'\nJinbo, Masato\n\nEpisode Director\n\n', b'\nItou, Noizi\n\nOriginal Character Design\n\n', b'\nOtani, Kow\n\nMusic\n\n']
