animeTitle	b'SYZ Project'
animeType	Music
animeNumEpisode	8
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""A music project collaboration between the anime studio DLE and Shizuoka prefecture. The main focus is to invigorate Shizuoka's night life tourism as a fun, weird, and sexy place to be. \n\nThe project name is a combination of: \nS (Shizuoka no) Y (Yoru wo) Z (Zawatsuka seru) Project \xef\xbc\x9d SYZ Project (pronounced ShizuPro)"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
