animeTitle	Time Bokan: Gyakushuu no San Akunin
animeType	TV
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	5.96
animeUsers	350
animeRank	
animePopularity	9977
animeDescription	Second season of Time Bokan 24.
animeRelated	['Time Bokan 24']
animeCharacters	['Bimajo', 'Tsubuyakky', 'Tokio', 'Calen', 'Suzukky', 'Nishimuraya, Yohachi', 'van Beethoven, Ludwig', 'Doyle, Conan', 'Bonaparte, Napoleon', 'Saigou, Itoko']
animeVoices	['Kitamura, Eri', 'Hirata, Hiroaki', 'Wakayama, Akihisa', 'Kitou, Akari', 'Miyake, Kenta', 'Sasa, Kenta', 'Hiyama, Nobuyuki', 'Ushiyama, Shigeru', 'Mikami, Satoshi', 'Matsukubo, Iho']
animeStaff	[['Oonishi, Kenta', 'Episode Director'], ['Kanesugi, Hiroko', 'Script'], ['Yabuki, Tsutomu', 'Storyboard'], ['TrySail', 'Theme Song Performance']]
