animeTitle	b'Re-Main'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.25
animeUsers	23929
animeRank	
animePopularity	
animeDescription	"b""When Minato Kiyomizu wakes up in a hospital, he learns that he has been comatose for 203 days. As it turns out, a car accident has caused him to lose all memory of his middle school journey. Eventually, he discovers his former glory in water polo and desires to continue where he has left off. However, embarrassingly becoming aware of the massive disparity between his old and current self, Minato begins intensive rehabilitation in hopes of starting anew\xe2\x80\x94a life without water polo.\n\nYet, Minato is promptly reminded of his past prowess and a promise on his very first day in Yamanami High School. Soon enough, despite being completely aware of his ineptitude, he joins the school's water polo club! While needing to relearn the sport's basics, he, along with his clubmates, must recruit new members to attain the required seven-man roster. With that, Minato tries to rekindle his deeply buried talent for water polo\xe2\x80\x94and become one of Japan's renowned players once again.\n\n[Written by MAL Rewrite]"""
animeRelated	[]
animeCharacters	[b'Kiyomizu, Minato', b'Joujima, Jou', b'Oka, Eitarou', b'Kawakubo, Chinu', b'Inomata, Yutaka Babayaro', b'Ushimado, Yoshiharu', b'Amihama, Shuugo', b'Momosaki, Riku', b'Ejiri, Takekazu', b'Bizen, Akimitsu']
animeVoices	[b'\nUemura, Yuuto\nJapanese\n', b'\nKimura, Subaru\nJapanese\n', b'\nNishiyama, Koutarou\nJapanese\n', b'\nLynn\nJapanese\n', b'\nHatanaka, Tasuku\nJapanese\n', b'\nHirose, Daisuke\nJapanese\n', b'\nSaitou, Souma\nJapanese\n', b'\nUchida, Yuuma\nJapanese\n', b'\nFurukawa, Makoto\nJapanese\n', b'\nMidorikawa, Hikaru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNishida, Masafumi\n\nDirector, Sound Director, Script, Original Creator, Series Composition\n\n', b'\nMatsuda, Kiyoshi\n\nDirector\n\n', b'\nENHYPEN\n\nTheme Song Performance\n\n', b'\nNakamura, Shuugo\n\nTheme Song Performance\n\n']
