animeTitle	Shinkansen Henkei Robo Shinkalion Z the Animation
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	11676
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Shinkansen Henkei Robo Shinkalion The Animation', 'Shinkansen Henkei Robo Shinkalion Z Special Compilation: Yarisugi!? Shinkalion Z Toshi Densetsu File']
animeCharacters	['Arata, Shin', 'Usui, Abuto', 'Smatt', 'Togakushi, Taiju', 'Ooishi, Misaki', 'Hosokawa, Atsuta', 'Arashiyama, Ginga', 'Abiko, Kasumi', 'Sogou, Saijou', 'Arata, Ayu']
animeVoices	['Tsuda, Minami', 'Kitou, Akari', 'Fukuyama, Jun', 'Kaiden, Michiko', 'Moriya, Satomi', 'Okabayashi, Fumihiro', 'Senbongi, Sayaka', 'Gotou, Kousuke', 'Takao, Kanon']
animeStaff	[['Ikezoe, Takahiro', 'Director, Series Composition'], ['Yamaguchi, Kentarou', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Urashimasakatasen', 'Theme Song Performance']]
