animeTitle	Yowamushi Pedal Movie
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.59
animeUsers	12852
animeRank	
animePopularity	3538
animeDescription	"With the Inter-high over and as the end of summer approaches, Sakamichi trains intensely with Imaizumi Shunsuke and Naruko Shoukichi so he can carry on Team Sohoku’s spirit of supporting each other entrusted to him by Kinjou Shingo, Makishima Yusuke, and Tadokoro Jin, the third years who will be graduating before long. One day, Team Sohoku receives an invitation to the Kumamoto Fire Country Mountain Race, an invitational race for teams that performed well at the Inter-high, and their captain Kinjou decides their core Inter-high team will attend.

(Source: Crunchyroll)"
animeRelated	['Yowamushi Pedal: Grande Road', 'Yowamushi Pedal: New Generation']
animeCharacters	['Onoda, Sakamichi', 'Naruko, Shoukichi', 'Imaizumi, Shunsuke', 'Midousuji, Akira', 'Makishima, Yuusuke', 'Arakita, Yasutomo', 'Manami, Sangaku', 'Toudou, Jinpachi', 'Teshima, Junta', 'Shinkai, Hayato']
animeVoices	['Yamashita, Daiki', 'Fukushima, Jun', 'Toriumi, Kousuke', 'Yusa, Kouji', 'Morikubo, Shoutarou', 'Yoshino, Hiroyuki', 'Yonaga, Tsubasa', 'Kakihara, Tetsuya', 'Kishio, Daisuke', 'Hino, Satoshi']
animeStaff	[['Naganuma, Norihiro', 'Director'], ['Nabeshima, Osamu', 'Director'], ['Takadera, Takeshi', 'Sound Director'], ['Yoshida, Reiko', 'Script']]
