animeTitle	b'Mori no Kuma-san, Toumin-chuu.'
animeType	b'TV'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'Nowa the bear lives in the forest and adopts a puppy named Airi. Before going into hibernation, Now was worried that Airi wouldn\'t wean. A few months after starting his hibernation, Nowa wakes up with a pleasant sensation from Airi, now an adult dog, licking his nipple saying, ""I\'ve been waiting for a long time.""\n\n(Source: MAL News)\n\nThe TV version was broadcast on Toyko MX, while the complete, uncensored version was streamed on the ComicFesta Anime Zone website.\n\nThis entry reflects standard TV version of the anime.'"
animeRelated	[]
animeCharacters	[b'Nowa', b'Airi', b'Kou']
animeVoices	[b'\nOkitsu, Kazuyuki\nJapanese\n', b'\nAmasaki, Kouhei\nJapanese\n', b'\nKawanishi, Kengo\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHaruchika\n\nOriginal Creator\n\n']
