animeTitle	b'Kabatotto'
animeType	b'TV'
animeNumEpisode	300
releaseDate	
endDate	
animeNumMembers	
animeScore	5.9
animeUsers	146
animeRank	
animePopularity	
animeDescription	"b""Thomas is a cunning bird who sponges on Hyppo, the good-natured hippopotamus. Although Thomas is a dependent, living in Hyppo's big mouth, he always acts lordly and tries to outsmart his simpleminded host. However, their basic friendship and cooperation endures despite their frequent quarrels. The two play a prime role in this comic series, short yet full of originality. \n\n(Source: Tatsunoko website)"""
animeRelated	[]
animeCharacters	[b'Kaba']
animeVoices	[b'\nOohira, Tooru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSasagawa, Hiroshi\n\nDirector\n\n', b'\nYanagawa, Shigeru\n\nScript\n\n', b'\nNakamura, Mitsuki\n\nArt Director\n\n', b'\nNunokawa, Yuuji\n\nChief Animation Director\n\n']
