animeTitle	b'Samayou Midara na Lunatics'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.32
animeUsers	1181
animeRank	
animePopularity	
animeDescription	b'Eifa loves her brother, Alois, but due to their status as royalty they are unable to express their love. One day Eifa was tricked and cursed by a witch seeking to become the new queen. Due to the curse Eifa can only exist at night and when it is day, her body is replaced by Alois. Their incestuous love is also exposed, and together they are banished from the kingdom.\n\nIn desperation to break the curse, Alois decides to seek the help of another witch, named Yorandel.\n\n(Source: VNDB)'
animeRelated	[]
animeCharacters	[b'Alois', b'Lihtel', b'Eefa']
animeVoices	[b'\nKawatana, Sakura\nJapanese\n', b'\nDodo, Asako\nJapanese\n', b'\nShiomi, Rin\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMakino, Yukihiro\n\nDirector, Episode Director, Script, Storyboard\n\n', b'\nNakagawa, Tatsuto\n\nSound Director\n\n', b'\nLilith Soft\n\nOriginal Creator\n\n', b'\nHifumi\n\nBackground Art, Art Director\n\n']
