animeTitle	Hong Haier: Juezhan Huoyanshan
animeType	Movie
animeNumEpisode	1
releaseDate	2005-08-05 00:00:00
endDate	
animeNumMembers	204
animeScore	
animeUsers	
animeRank	16119
animePopularity	15984
animeDescription	"The story is about the Chinese Tang monk called Tripitaka who leads his fairy animal neophytes Monkey, Pigsy, Sandy, and Horse on a long journey to India in search of the ""Script of Wisdom and Truth"". Along the journey, they come to a place constantly in flames called Flame Mountain.

(Source: aniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
