animeTitle	Kyattou Ninden Teyandee
animeType	TV
animeNumEpisode	54
releaseDate	1990-02-01 00:00:00
endDate	1991-02-12 00:00:00
animeNumMembers	11705
animeScore	7.03
animeUsers	4396
animeRank	3691
animePopularity	4996
animeDescription	"Kyattou Ninden Teyande takes place in the city of Little Tokyo, a meld of feudal and modern Japanese culture, whose citizens are walking, talking animals. 

When the head palace guard catches wind that the corrupt prime minister Seymour Cheese decides to become emperor and take over Little Tokyo, he knows that only one group can save Little Tokyo: the owners of a local pizza joint, the Pizza Cats! Serving delicious pizza by day, this trio's true occupation is meowvelous warriors of justice! The Samurai Pizza Cats will do whatever it takes to protect Little Tokyo!
"
animeRelated	[]
animeCharacters	['Yattarou', 'Pururun', 'Sukashii', 'Tokugawa, Usako', 'Omitsu', 'Kitsunezuka, Korn', 'Otama']
animeVoices	['Yamaguchi, Kappei', 'Orikasa, Ai', 'Kosugi, Juurouta', 'Kawamura, Maria', 'Mizutani, Yuuko', 'Sawaki, Ikuya', 'Koorogi, Satomi']
animeStaff	[['Okajima, Kunitoshi', 'Director, Episode Director, Storyboard'], ['Koshi, Shigeo', 'Episode Director, Storyboard'], ['Kaneko, Shingo', 'Episode Director, Storyboard'], ['Asada, Yuuji', 'Episode Director, Storyboard']]
