animeTitle	Ramen Daisuki Koizumi-san
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.53
animeUsers	18964
animeRank	
animePopularity	2378
animeDescription	"From standing in the sun for hours to traveling miles away from home, gorgeous high school student Koizumi stops at nothing to fulfill her desire for ramen. But these previously solo trips soon change when Koizumi's classmate Yuu Oosawa develops an infatuation with her, and begins to join Koizumi uninvitedly on her adventures. As Yuu continues to be shocked by Koizumi's enormous appetite, she learns about the endless variety of ramen from, arguably, its greatest connoisseur ever!

[Written by MAL Rewrite]"
animeRelated	['Ramen Daisuki Koizumi-san']
animeCharacters	"['Koizumi', 'Oosawa, Yuu', 'Takahashi, Jun', 'Nakamura, Misa', 'Hannah', 'Yamada-sensei', 'Oosawa, Ayane', ""Misa's Boyfriend"", ""Hannah's Mother"", 'Oosawa, Shuu']"
animeVoices	['Taketatsu, Ayana', 'Sakura, Ayane', 'Hara, Yumi', 'Kitou, Akari', 'Kakuma, Ai', 'Toyosaki, Aki', 'Ueda, Kana', 'Tamaru, Atsushi', 'Kataishi, Chiharu', 'Nakamura, Yuuichi']
animeStaff	[['Setou, Kenji', 'Director'], ['Motoyama, Satoshi', 'Sound Director'], ['Majima, Takahiro', 'Episode Director'], ['Takahashi, Tatsuya', 'Script, Series Composition']]
