animeTitle	Makyou Densetsu Acrobunch
animeType	TV
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	5.96
animeUsers	197
animeRank	
animePopularity	11104
animeDescription	"Led by scientist Tatsuya Randou, the Randou family undertakes a journey around the globe in order to search out ancient ruins to uncover the legend of Quetzalcoatl, which unlocks the key to a fabulous treasure. However, tailing the Randou family is Gopurin, an evil organisation that covets the legendary treasure for itself. The Randou family has the secret weapon of super robot Acrobunch. It becomes a race around the world of who finds the treasure first. 

(Source: Wikipedia) "
animeRelated	[]
animeCharacters	['Randou, Ryou', 'Randou, Miki', 'Randou, Hiro', 'Randou, Reika', 'Randou, Tatsuya', 'Randou, Jun', 'Sheila', 'Bullzome']
animeVoices	['Tanaka, Hideyuki', 'Miwa, Katsue', 'Wakamoto, Norio', 'Sugiyama, Kazuko', 'Shibata, Hidekatsu', 'Nakahara, Shigeru', 'Yanaga, Kazuko', 'Oobayashi, Ryuusuke']
animeStaff	[['Matsuura, Noriyoshi', 'Sound Director'], ['Shudou, Takeshi', 'Script'], ['Yamagata, Yukio', 'Theme Song Performance'], ['Taira, Isao', 'Theme Song Performance']]
