animeTitle	Candy.zip
animeType	Movie
animeNumEpisode	1
releaseDate	2017-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17987
animeDescription	"Aoko is confident about the documents she creates at work, but doesn't get any positive feedback. Then, she witnesses her colleague secretly changing the documents she created. Aoko is turned into a piece of candy to keep her quiet...

(Source: YouTube)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
